student_id,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,how_do_you_describe_yourself___prefer_to_self_describe___text,what_is_your_first_degree_subject_area,how_many_years_work_experience_do_you_have,what_sectors_have_you_worked_in,previous_experiences_of_team_working_in_study_and_work,i_will_enjoy_working_in_the_team,team_communication_will_be_highly_effective,team_communication_will_be_very_frequent,my_team_will_bond_personally_as_well_as_professionally,we_will_collaborate_together_on_the_same_tasks,work_on_separate_tasks_and_link_them_together_later_on,develop_my_professional_skills_as_a_result_of_the_team_project,develop_my_team_working_skills_and_collaboration,we_will_adjust_the_project_regularly_as_we_go_along,we_will_stick_to_our_original_project_plan,we_will_produce_an_end_result_which_we_are_proud_of,i_see_myself_as___extraverted_enthusiastic,i_see_myself_as___critical_quarrelsome,i_see_myself_as___dependable_self_disciplined,i_see_myself_as___anxious_easily_upset,i_see_myself_as___open_to_a_new_experiences_complex,i_see_myself_as___reserved_quiet,i_see_myself_as___sympathetic_warm,i_see_myself_as___disorganised_careless,i_see_myself_as___calm_emotionally_stable,i_see_myself_as___conventional_uncreative,because_i_think_that_this_module_is_interesting,because_i_am_doing_it_for_my_own_good,because_i_am_supposed_to_do_it,personally_i_don’t_see_any_good_reasons_in_the_module,because_i_think_that_this_module_is_pleasant,because_i_think_that_this_module_is_good_for_me,because_it_is_something_that_i_have_to_do,not_sure_if_it_is_worth_it,because_this_module_looks_fun,by_personal_decision,because_i_don’t_have_any_choice,i_don’t_see_what_this_module_brings_me,feel_good_about_this_module,because_i_feel_that_i_have_to_do_it,it_is_a_good_thing_to_pursue_it,not_sure_it_is_a_good_thing_to_pursue_it
81,78,1989,2,,17.0,9.0,10,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,1.0,1.0,1.0,7.0,5.0,6.0,1.0,7.0,1.0,7.0,7.0,4.0,3.0,7.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,7.0,7.0,7.0,4.0
82,126,1985,2,,14.0,12.0,16,1.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,1.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,6.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,1.0,3.0,7.0,5.0,4.0,4.0,7.0,7.0,1.0
83,126,1996,2,,11.0,2.0,"10,16,19",2.0,5.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,6.0,7.0,7.0,7.0,1.0,6.0,7.0,7.0,1.0,6.0,7.0,4.0,1.0,7.0,7.0,7.0,1.0
84,78,1999,1,,17.0,0.0,,1.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,6.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0
85,126,1993,1,,2.0,2.0,4,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,7.0,4.0,7.0,7.0,6.0,,7.0,4.0,5.0,7.0,4.0,1.0,4.0,6.0,6.0,1.0,5.0,4.0,2.0,2.0,4.0,5.0,5.0,1.0
86,30,1997,1,,16.0,3.0,19,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,6.0,4.0,7.0,2.0,5.0,5.0,2.0,5.0,4.0,5.0,6.0,6.0,5.0,1.0,6.0,6.0,5.0,1.0,5.0,5.0,2.0,1.0,6.0,6.0,6.0,1.0
87,53,1996,1,,15.0,,"10,13",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,6.0,7.0,3.0,2.0,6.0,7.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,7.0
88,126,1980,1,,15.0,15.0,11,2.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,6.0,1.0,7.0,1.0,7.0,4.0,7.0,1.0,7.0,1.0,7.0,7.0,3.0,1.0,3.0,7.0,7.0,1.0,6.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0
89,172,1997,1,,17.0,3.0,10,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,2.0,5.0,6.0,6.0,1.0,6.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
90,130,1995,1,,17.0,4.0,"13,16,17",3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,6.0,1.0,6.0,3.0,7.0,6.0,7.0,1.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,4.0,6.0,7.0,3.0,2.0,7.0,7.0,6.0,1.0
91,164,1994,1,,24.0,2.5,"3,8,10",3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,7.0,5.0,5.0,2.0,6.0,1.0,7.0,6.0,4.0,1.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0
92,126,1992,1,,,6.0,"1,12",2.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,1.0,7.0,6.0,7.0,6.0,7.0,1.0,7.0,1.0,5.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0,6.0,1.0,7.0,7.0,7.0,1.0
93,164,1986,1,,17.0,12.0,10,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,78,1984,2,,15.0,15.0,"10,13",4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,1.0,7.0,6.0,7.0,5.0,7.0,1.0,5.0,1.0,7.0,7.0,4.0,1.0,4.0,7.0,7.0,1.0,3.0,1.0,1.0,1.0,7.0,7.0,4.0,1.0
95,126,1980,2,,6.0,14.0,"7,11",4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0,1.0,7.0,1.0,7.0,3.0,7.0,1.0,7.0,1.0,7.0,4.0,4.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0
96,164,1998,1,,17.0,3.0,10,2.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,6.0,5.0,6.0,2.0,6.0,4.0,4.0,2.0,6.0,4.0,6.0,6.0,4.0,2.0,5.0,6.0,4.0,2.0,6.0,,2.0,2.0,5.0,6.0,4.0,2.0
97,21,1998,1,,15.0,2.0,7,2.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,6.0,6.0,3.0,6.0,5.0,4.0,2.0,7.0,3.0,7.0,6.0,4.0,1.0,6.0,6.0,5.0,1.0,6.0,7.0,1.0,1.0,6.0,7.0,4.0,1.0
98,163,1994,2,,32.0,5.0,10,4.0,3.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,2.0,4.0,7.0,4.0,6.0,5.0,6.0,1.0,7.0,2.0,4.0,1.0,7.0,7.0,1.0,1.0,4.0,7.0,4.0,1.0,4.0,6.0,1.0,1.0,6.0,7.0,3.0,1.0
99,179,1987,1,,24.0,7.0,11,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,6.0,6.0,6.0,5.0,6.0,3.0,5.0,2.0,5.0,2.0,5.0,4.0,6.0,3.0,4.0,5.0,6.0,5.0,4.0,3.0,6.0,4.0,5.0,4.0,5.0,5.0
100,179,1990,1,,20.0,,11,2.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,6.0,7.0,3.0,6.0,4.0,6.0,4.0,5.0,2.0,4.0,3.0,6.0,2.0,4.0,4.0,5.0,2.0,2.0,1.0,5.0,4.0,4.0,5.0,4.0,2.0
101,126,1999,1,,15.0,10.0,"7,10",3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,7.0,4.0,6.0,3.0,7.0,5.0,5.0,2.0,4.0,1.0,7.0,6.0,4.0,1.0,7.0,7.0,4.0,1.0,7.0,6.0,1.0,1.0,7.0,7.0,7.0,1.0
102,126,1995,1,,11.0,3.0,"10,19",4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,6.0,2.0,7.0,4.0,6.0,6.0,6.0,1.0,5.0,1.0,5.0,6.0,7.0,1.0,5.0,7.0,7.0,1.0,5.0,5.0,2.0,1.0,6.0,7.0,5.0,1.0
103,126,1997,2,,12.0,3.0,"18,19",4.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,6.0,1.0,7.0,1.0,7.0,5.0,6.0,1.0,7.0,1.0,5.0,6.0,3.0,1.0,6.0,6.0,2.0,6.0,5.0,5.0,3.0,4.0,5.0,6.0,3.0,5.0
104,126,1976,1,,17.0,15.0,"10,14,19",4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,164,1977,1,,14.0,18.5,3,4.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,5.0,7.0,3.0,6.0,2.0,7.0,1.0,3.0,1.0,6.0,1.0,7.0,6.0,6.0,1.0,6.0,7.0,7.0,1.0,6.0,6.0,4.0,1.0,7.0,7.0,7.0,1.0
106,126,1986,2,,6.0,7.0,16,2.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
107,14,1999,1,,17.0,0.0,,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,6.0,7.0,6.0,6.0,7.0,7.0,1.0,6.0,5.0,7.0,7.0,3.0,5.0,6.0,6.0,4.0,2.0,5.0,6.0,1.0,4.0,6.0,6.0,6.0,2.0
108,78,1997,2,,17.0,5.0,"10,13",4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,1.0,7.0,6.0,2.0,1.0,6.0,6.0,1.0,1.0,5.0,7.0,1.0,2.0,5.0,5.0,1.0,2.0
109,187,1997,1,,7.0,3.0,9,1.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,1.0,1.0,5.0,1.0,7.0,6.0,6.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,1.0,1.0,4.0,5.0,4.0,1.0
110,185,1998,2,,6.0,1.0,19,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,4.0,6.0,5.0,4.0,2.0,6.0,2.0,5.0,7.0,7.0,3.0,3.0,5.0,7.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,2.0
111,126,1980,1,,20.0,15.0,11,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,3.0,7.0,2.0,7.0,2.0,6.0,2.0,7.0,7.0,6.0,2.0,7.0,7.0,7.0,1.0,5.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
112,164,1992,2,,14.0,5.0,11,2.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,5.0,7.0,2.0,5.0,4.0,6.0,7.0,4.0,1.0,6.0,7.0,5.0,1.0,4.0,4.0,1.0,1.0,7.0,7.0,7.0,1.0
113,126,1990,1,,23.0,5.0,14,2.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,7.0,4.0,7.0,6.0,6.0,2.0,5.0,2.0,7.0,7.0,7.0,1.0,6.0,6.0,6.0,1.0,6.0,6.0,2.0,2.0,6.0,6.0,6.0,1.0
114,126,1996,2,,25.0,3.0,11,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,1.0,6.0,3.0,6.0,6.0,7.0,,2.0,3.0,4.0,7.0,7.0,1.0,4.0,6.0,7.0,2.0,5.0,5.0,6.0,2.0,5.0,5.0,6.0,4.0
115,126,2001,1,,11.0,0.0,,2.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,7.0,2.0,7.0,4.0,4.0,1.0,7.0,1.0,7.0,7.0,3.0,1.0,3.0,7.0,7.0,2.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0
116,66,1992,1,,8.0,,11,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0,4.0,6.0,3.0,7.0,4.0,5.0,1.0,6.0,1.0,7.0,7.0,4.0,1.0,6.0,7.0,6.0,1.0,5.0,7.0,1.0,1.0,7.0,7.0,7.0,2.0
117,130,1999,2,,17.0,,"10,14",4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0,3.0,7.0,2.0,6.0,3.0,7.0,1.0,7.0,4.0,5.0,7.0,5.0,2.0,6.0,7.0,4.0,1.0,5.0,6.0,1.0,1.0,5.0,6.0,4.0,1.0
118,118,1991,2,,24.0,5.0,"7,9",2.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,6.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,7.0,7.0,7.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,4.0,5.0,4.0,1.0
119,126,1994,1,,35.0,,"5,11,13",4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,7.0,6.0,6.0,1.0,7.0,6.0,6.0,1.0,7.0,1.0,1.0,6.0,7.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0
120,185,2000,1,,8.0,0.0,,2.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,4.0,6.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,6.0,2.0,1.0,5.0,6.0,1.0,2.0,5.0,7.0,1.0,1.0,5.0,6.0,1.0,2.0
121,185,2002,1,,17.0,3.0,"3,6",4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,3.0,6.0,2.0,5.0,2.0,5.0,3.0,6.0,2.0,4.0,5.0,7.0,6.0,5.0,3.0,7.0,6.0,3.0,5.0,6.0,4.0,4.0,4.0,6.0,5.0
122,137,2001,1,,24.0,2.0,1,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,6.0,2.0,6.0,3.0,5.0,1.0,7.0,4.0,5.0,6.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0,4.0,2.0,2.0,6.0,6.0,2.0,2.0
123,80,1982,1,,15.0,10.0,19,2.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,2.0,5.0,1.0,4.0,1.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,5.0,4.0,3.0,1.0
124,104,1992,1,,24.0,7.0,11,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,4.0,6.0,5.0,6.0,3.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,7.0,1.0,1.0,6.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0
125,185,1987,1,,15.0,5.0,13,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,7.0,2.0,7.0,5.0,7.0,1.0,6.0,1.0,7.0,7.0,1.0,1.0,4.0,7.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
126,3,2002,2,,13.0,1.0,"3,8,19",2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,2.0,6.0,5.0,5.0,1.0,3.0,2.0,6.0,4.0,1.0,1.0,4.0,6.0,2.0,2.0,4.0,5.0,2.0,1.0,4.0,5.0,2.0,2.0
127,185,1980,2,,11.0,26.0,"11,15,19",2.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,1.0,6.0,2.0,7.0,5.0,6.0,5.0,7.0,6.0,3.0,4.0,6.0,3.0,2.0,4.0,6.0,3.0,2.0,4.0,6.0,4.0,4.0,3.0,6.0,3.0
128,185,1984,2,,8.0,17.0,"13,17,19",4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,6.0,1.0,7.0,4.0,6.0,3.0,6.0,1.0,7.0,4.0,6.0,5.0,5.0,1.0,5.0,5.0,4.0,1.0,6.0,3.0,4.0,1.0,6.0,6.0,4.0,1.0
129,185,1988,1,,,15.0,6,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,7.0,5.0,5.0,3.0,7.0,1.0,4.0,4.0,5.0,2.0,6.0,5.0,4.0,3.0,6.0,7.0,1.0,2.0,4.0,5.0,2.0,2.0,6.0,6.0,2.0,2.0
130,36,2001,1,,17.0,0.0,19,1.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,6.0,5.0,4.0,5.0,6.0,2.0,6.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,4.0
131,156,1988,2,,8.0,12.0,"9,11",4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,1.0,5.0,5.0,2.0,7.0,1.0,7.0,2.0,6.0,2.0,5.0,3.0,5.0,7.0,2.0,1.0,5.0,6.0,1.0,4.0,5.0,7.0,1.0,1.0,5.0,4.0,1.0,1.0
132,78,1990,1,,17.0,12.0,"11,19",4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,7.0,3.0,7.0,3.0,7.0,3.0,5.0,1.0,6.0,2.0,7.0,7.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,5.0,4.0
133,136,1984,1,,24.0,16.0,"3,4,11",4.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,3.0,5.0,3.0,3.0,6.0,3.0,6.0,4.0,7.0,1.0,6.0,4.0,4.0,2.0,5.0,7.0,5.0,6.0,7.0,7.0,7.0,1.0,7.0,7.0,,1.0,6.0,6.0,7.0,1.0
134,179,1982,1,,17.0,4.0,"10,19",3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,6.0,6.0,4.0,6.0,4.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,6.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0
135,192,1995,1,,,6.0,"3,7",4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,5.0,6.0,2.0,6.0,7.0,6.0,2.0,4.0,2.0,5.0,6.0,7.0,2.0,4.0,5.0,6.0,2.0,4.0,3.0,4.0,3.0,5.0,5.0,6.0,3.0
136,185,1974,1,,17.0,,"9,10,11,13",4.0,5.0,5.0,,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,7.0,1.0,7.0,2.0,7.0,2.0,7.0,3.0,6.0,4.0,7.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0
137,126,1991,2,,24.0,3.0,"7,14,16,19",2.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,1.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0,6.0,7.0,1.0,1.0,6.0,7.0,6.0,1.0
138,116,2001,1,,17.0,1.0,"8,16",3.0,4.0,5.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,6.0,4.0,6.0,6.0,5.0,4.0,6.0,2.0,7.0,7.0,1.0,1.0,6.0,6.0,4.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,5.0,1.0
139,126,2000,1,,6.0,1.0,19,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,6.0,3.0,7.0,6.0,6.0,1.0,7.0,1.0,6.0,4.0,5.0,1.0,6.0,6.0,6.0,1.0,5.0,7.0,1.0,1.0,6.0,5.0,5.0,1.0
140,185,1988,2,,8.0,15.0,"7,11,14,15,16",4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,4.0,6.0,4.0,5.0,5.0,6.0,2.0,5.0,4.0,3.0,3.0,5.0,5.0,7.0,4.0,3.0,5.0,7.0,4.0,3.0,1.0,7.0,4.0,4.0,4.0,7.0,2.0
141,36,2001,1,,17.0,0.0,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
142,87,1994,2,,8.0,6.0,"14,17",2.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,6.0,3.0,6.0,4.0,5.0,1.0,4.0,4.0,7.0,1.0,5.0,6.0,7.0,3.0,4.0,1.0,7.0,1.0,5.0,6.0,7.0,1.0
143,185,1990,1,,4.0,,"8,11",3.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,1.0,7.0,3.0,7.0,4.0,7.0,1.0,7.0,1.0,5.0,4.0,6.0,1.0,4.0,4.0,7.0,2.0,4.0,1.0,6.0,1.0,5.0,4.0,6.0,1.0
144,14,1995,2,,24.0,3.0,"10,11,19",2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,,6.0,7.0,1.0,7.0,1.0,7.0,5.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,6.0,2.0,1.0,7.0,7.0,1.0,2.0
145,185,2002,1,,28.0,5.0,"7,9",2.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,2.0,5.0,3.0,4.0,2.0,6.0,3.0,4.0,5.0,6.0,3.0,5.0,5.0,5.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0
146,185,1979,2,,30.0,6.0,13,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,6.0,2.0,7.0,6.0,7.0,1.0,6.0,2.0,4.0,5.0,5.0,6.0,2.0,6.0,6.0,2.0,2.0,6.0,6.0,2.0,4.0,7.0,7.0,2.0
147,185,1983,1,,14.0,13.0,16,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,6.0,5.0,5.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,7.0,1.0,4.0,4.0,7.0,3.0,3.0,3.0,7.0,3.0,3.0,4.0,7.0,1.0
148,164,1983,1,,15.0,15.0,4,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,3.0,3.0,5.0,7.0,5.0,7.0,2.0,7.0,4.0,5.0,1.0,6.0,2.0,6.0,7.0,5.0,,6.0,7.0,7.0,5.0,7.0,5.0,2.0,2.0,7.0,7.0,7.0,2.0
149,164,1993,1,,24.0,9.0,11,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,7.0,3.0,5.0,1.0,5.0,2.0,5.0,6.0,2.0,2.0,4.0,6.0,4.0,1.0,4.0,4.0,2.0,2.0,6.0,6.0,4.0,2.0
150,185,2000,1,,14.0,1.0,"9,14",1.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,6.0,5.0,4.0,6.0,5.0,4.0,2.0,6.0,4.0,5.0,6.0,5.0,1.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0
151,185,1996,1,,8.0,5.0,13,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,1.0,7.0,4.0,6.0,6.0,7.0,1.0,7.0,4.0,3.0,3.0,7.0,1.0,3.0,4.0,7.0,4.0,3.0,1.0,7.0,4.0,3.0,4.0,6.0,2.0
152,14,1999,1,,15.0,2.0,16,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,6.0,3.0,7.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,3.0,6.0,4.0,1.0,2.0,7.0,7.0,1.0
153,126,1976,2,,33.0,,11,2.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,6.0,1.0,,5.0,7.0,3.0,7.0,1.0,7.0,5.0,5.0,6.0,4.0,1.0,5.0,5.0,4.0,1.0,5.0,4.0,1.0,1.0,5.0,6.0,4.0,1.0
154,130,1998,1,,17.0,4.0,"10,16",4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,6.0,2.0,7.0,4.0,6.0,1.0,6.0,1.0,5.0,6.0,4.0,1.0,4.0,4.0,4.0,1.0,6.0,6.0,1.0,1.0,5.0,5.0,4.0,2.0
155,179,1969,2,,30.0,30.0,"11,16",4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,7.0,7.0,4.0,7.0,6.0,6.0,1.0,,1.0,7.0,7.0,4.0,1.0,7.0,7.0,4.0,1.0,4.0,4.0,1.0,1.0,7.0,7.0,4.0,1.0
156,164,2001,1,,24.0,1.0,3,2.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,7.0,6.0,7.0,4.0,7.0,5.0,6.0,3.0,6.0,1.0,6.0,6.0,4.0,2.0,5.0,6.0,5.0,3.0,5.0,5.0,3.0,3.0,6.0,6.0,3.0,3.0
157,164,1986,1,,24.0,,"11,14",3.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,7.0,7.0,1.0,1.0,3.0,5.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,7.0,1.0,2.0
